ISP,Download,Upload,Timestamp
Infel-ktv Doo,8.79 Mbit/s,1.14 Mbit/s,2020-06-08T08:00:02.421275Z
Infel-ktv Doo,9.18 Mbit/s,1.22 Mbit/s,2020-06-08T09:00:03.761828Z
Infel-ktv Doo,12.23 Mbit/s,1.20 Mbit/s,2020-06-08T10:00:03.475875Z
Infel-ktv Doo,12.82 Mbit/s,1.06 Mbit/s,2020-06-08T11:00:03.668363Z
Infel-ktv Doo,13.82 Mbit/s,1.28 Mbit/s,2020-06-08T12:00:03.388602Z
Infel-ktv Doo,12.70 Mbit/s,1.18 Mbit/s,2020-06-08T13:00:03.819601Z
Infel-ktv Doo,13.81 Mbit/s,1.26 Mbit/s,2020-06-08T14:00:03.071859Z
Infel-ktv Doo,9.54 Mbit/s,1.06 Mbit/s,2020-06-08T15:00:03.058620Z
Infel-ktv Doo,12.24 Mbit/s,1.04 Mbit/s,2020-06-08T16:00:03.145481Z
Infel-ktv Doo,14.18 Mbit/s,1.34 Mbit/s,2020-06-08T17:00:03.785924Z
Infel-ktv Doo,14.21 Mbit/s,1.32 Mbit/s,2020-06-08T18:00:03.472208Z
Infel-ktv Doo,14.15 Mbit/s,1.27 Mbit/s,2020-06-08T19:00:03.519936Z
Infel-ktv Doo,10.33 Mbit/s,0.69 Mbit/s,2020-06-10T07:00:02.691663Z
Infel-ktv Doo,13.61 Mbit/s,1.28 Mbit/s,2020-06-10T08:00:03.354234Z
Infel-ktv Doo,14.22 Mbit/s,1.01 Mbit/s,2020-06-10T09:00:02.747043Z
Infel-ktv Doo,14.23 Mbit/s,1.20 Mbit/s,2020-06-10T10:00:03.051533Z
Infel-ktv Doo,12.16 Mbit/s,1.17 Mbit/s,2020-06-10T11:00:02.679756Z
Infel-ktv Doo,11.68 Mbit/s,1.26 Mbit/s,2020-06-10T12:00:02.505635Z
Infel-ktv Doo,14.24 Mbit/s,1.31 Mbit/s,2020-06-10T13:00:03.088181Z
Infel-ktv Doo,13.81 Mbit/s,1.25 Mbit/s,2020-06-10T14:00:02.280861Z
Infel-ktv Doo,13.02 Mbit/s,1.09 Mbit/s,2020-06-10T15:00:02.980103Z
Infel-ktv Doo,13.38 Mbit/s,1.18 Mbit/s,2020-06-10T16:00:02.350446Z
Infel-ktv Doo,12.62 Mbit/s,1.13 Mbit/s,2020-06-10T17:00:02.984471Z
Infel-ktv Doo,13.84 Mbit/s,1.37 Mbit/s,2020-06-10T18:00:03.040047Z
Infel-ktv Doo,13.69 Mbit/s,1.29 Mbit/s,2020-06-10T19:00:03.663232Z
Infel-ktv Doo,13.00 Mbit/s,1.30 Mbit/s,2020-06-10T20:00:03.313063Z
Infel-ktv Doo,14.14 Mbit/s,1.32 Mbit/s,2020-06-10T21:00:02.909298Z
Infel-ktv Doo,13.97 Mbit/s,1.29 Mbit/s,2020-06-10T22:00:02.622738Z
Infel-ktv Doo,14.15 Mbit/s,1.25 Mbit/s,2020-06-10T23:00:03.780679Z
Infel-ktv Doo,14.18 Mbit/s,1.26 Mbit/s,2020-06-11T00:00:02.649906Z
Infel-ktv Doo,14.25 Mbit/s,1.28 Mbit/s,2020-06-11T01:00:02.694015Z
Infel-ktv Doo,14.28 Mbit/s,1.31 Mbit/s,2020-06-11T02:00:03.147717Z
Infel-ktv Doo,14.24 Mbit/s,1.34 Mbit/s,2020-06-11T03:00:03.245640Z
Infel-ktv Doo,14.23 Mbit/s,1.21 Mbit/s,2020-06-11T04:00:03.172437Z
